SpeciesName_cor,taxon,N (Vertnet),common name,min,max,units,source,note,Habitat,Migratory,RangeChar,SpeciesName
Otospermophilus_beecheyi,mammal,293+197 (both names),California ground squirrel,280,783,g,http://animaldiversity.org/accounts/Spermophilus_beecheyi/,,grassland,,,Otospermophilus beecheyi (also Spermophilus beecheyi)
Spinus_psaltria,aves,908 (C. psaltria) + 57 (S. psaltria),Lesser Goldfinch,7,12,g,https://birdsna.org/Species-Account/bna/species/lesgol/appearance#mass,,open woodland,resident,,Spinus (Carduelis) psaltria
Spinus_tristis,aves,1166  C. tristis + 152 S. tristris,American goldfinch,11,20,g,https://www.allaboutbirds.org/guide/American_Goldfinch/lifehistory,,open woodland,short dist migrant,,Spinus (Carduelis) tristis
Megascops_asio,aves,200+771,Eastern screech owl,121,244,g,https://www.allaboutbirds.org/guide/Eastern_Screech-Owl/lifehistory,,forest,resident,eastern US,Megascops (Otus) asio
Myodes_californicus,mammal,1092+618,California redback vole,15,40,g,http://animaldiversity.org/accounts/Myodes_californicus/,,Forest,,West coast,Myodes (Clethrionomys) californicus
Loxia_curvirostra,aves,1749,Red Crossbill,23,46,g,http://animaldiversity.org/accounts/Loxia_curvirostra/,,conifer forest,resident,Broad NA,Loxia curvirostra
Macrotus_californicus,mammal,283 (with georefs),California leafnose bat,8,22,g,"http://animaldiversity.org/accounts/Macrotus_californicus/, https://naturalhistory.si.edu/mna/image_info.cfm?species_id=145",,desert,,interior West,Macrotus californicus
Melanerpes_carolinus,aves,331,Red-bellied woodpecker,56,91,g,https://www.allaboutbirds.org/guide/Red-headed_Woodpecker/lifehistory,,Forest,resident,Eastern US,Melanerpes carolinus
Myotis_velifer,mammal,494,cave myotis,7,14,g,ADWhttp://animaldiversity.org/accounts/Myotis_velifer/,,plains,,Interior West,Myotis velifer
Perognathus_flavus,mammal,987,Silky pocketmouse,5,10,g,https://naturalhistory.si.edu/mna/image_info.cfm?species_id=250,,arid grasslands,,Interior West,Perognathus flavus
Sorex_cinereus,mammal,">10,000",Masked shrew,2.2,6,g,"http://www.science.smith.edu/msi/pdf/743_Sorex_cinereus.pdf, https://naturalhistory.si.edu/mna/image_info.cfm?species_id=320",,widespread,,US/Canada,Sorex cinereus
Sorex_hoyi,mammal,490 (with georefs),Pygymy shrew,2,6.6,g,"https://en.wikipedia.org/wiki/American_pygmy_shrew, http://fieldguide.mt.gov/speciesDetail.aspx?elcode=amaba01250",,forests,,US/Canada,Sorex hoyi
Sorex_ornatus,mammal,228 (with georefs),Ornate shrew,2.9,8.7,g,https://naturalhistory.si.edu/mna/image_info.cfm?species_id=324,,wetland/marsh,,West Coast,Sorex ornatus
Tamias_speciosus,mammal,535,Lodgepole chipmunk,50,70,g,"http://www.science.smith.edu/msi/pdf/i0076-3519-478-01-0001.pdf, http://animaldiversity.org/accounts/Tamias_speciosus/",,forest,,West (CA interior),Tamias speciosus
Tamias_townsendii,mammal,946,Townsends chipmunk,60,118,g,http://animaldiversity.org/accounts/Tamias_townsendii/,,forest,,West coast,Tamias townsendii
